epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.501,1.73643,2.93764,1.78699,0.05357,0.39379,0.06273,0.0187,2.8442,47.9674,3.30685,0.000552614,0.000552614,0.000552614
2,1301.22,2.3607,3.17562,2.24769,0.02791,0.08,0.01355,0.00336,3.41651,52.599,4.05704,0.00109457,0.00109457,0.00109457
3,1946.47,2.41167,3.24106,2.31594,0.58489,0.06341,0.04089,0.01022,3.08038,7.8007,3.07309,0.00162276,0.00162276,0.00162276
4,2630.42,2.3409,3.15868,2.2769,0.05579,0.13949,0.03253,0.00976,2.91444,9.59363,2.8346,0.00160511,0.00160511,0.00160511
5,3274.01,2.31366,3.14976,2.21071,0.02755,0.14793,0.0137,0.00376,3.04945,9.22744,2.93163,0.00158448,0.00158448,0.00158448
6,3922.63,2.17695,2.95738,2.11401,0.08717,0.14086,0.03882,0.0102,3.00521,4.75524,2.77494,0.00156385,0.00156385,0.00156385
7,4569.92,2.15216,2.877,2.11325,0.04855,0.225,0.03621,0.01298,2.65949,14.5113,2.55505,0.00154323,0.00154323,0.00154323
8,5206.99,2.18652,2.91262,2.13803,0.65157,0.205,0.13782,0.05053,2.49144,4.7251,2.41065,0.0015226,0.0015226,0.0015226
9,5881.21,2.04412,2.77073,2.02498,0.21553,0.19054,0.13926,0.05211,2.64095,3.41744,2.5107,0.00150197,0.00150197,0.00150197
10,6588.17,1.97888,2.63561,1.96405,0.24073,0.26724,0.17461,0.07355,2.38641,3.28604,2.2925,0.00148134,0.00148134,0.00148134
11,7292.49,1.9094,2.54482,1.90921,0.20274,0.195,0.2191,0.11807,2.30477,3.73507,2.24351,0.00146071,0.00146071,0.00146071
12,7973.62,1.90642,2.6185,1.88735,0.40965,0.24102,0.2254,0.12504,2.16125,3.19319,2.15639,0.00144008,0.00144008,0.00144008
13,8649.72,1.90668,2.52952,1.88502,0.50756,0.27342,0.25206,0.11376,2.33082,2.95773,2.22854,0.00141945,0.00141945,0.00141945
14,9389.09,1.8526,2.49301,1.85492,0.72666,0.245,0.26637,0.13636,2.20058,3.00428,2.12565,0.00139882,0.00139882,0.00139882
15,10105,1.79815,2.29245,1.80434,0.75756,0.25,0.2415,0.13132,2.15567,3.33942,2.09156,0.00137819,0.00137819,0.00137819
16,10800.9,1.81221,2.29524,1.82283,0.72396,0.30019,0.2596,0.15144,2.15192,2.88357,2.12292,0.00135756,0.00135756,0.00135756
17,11498.4,1.74393,2.12941,1.79674,0.33412,0.34672,0.29075,0.16447,2.12389,2.59817,2.09374,0.00133693,0.00133693,0.00133693
18,12202.5,1.75338,2.18215,1.76415,0.40579,0.31224,0.31161,0.17643,2.09828,2.72592,2.09438,0.0013163,0.0013163,0.0013163
19,12896.5,1.72834,2.17331,1.758,0.42552,0.36573,0.32859,0.18845,2.03446,2.86334,1.99984,0.00129568,0.00129568,0.00129568
20,13605.9,1.62106,2.08535,1.69567,0.42142,0.39466,0.3583,0.21247,2.05572,2.63749,2.02689,0.00127505,0.00127505,0.00127505
21,14329.9,1.64143,2.00468,1.69223,0.53129,0.35153,0.34715,0.2118,1.95748,2.36495,1.9586,0.00125442,0.00125442,0.00125442
22,15041.9,1.61207,1.9013,1.66638,0.55019,0.38851,0.36665,0.20231,2.02353,2.80557,1.97926,0.00123379,0.00123379,0.00123379
23,15770.2,1.59134,1.94551,1.67503,0.49552,0.37304,0.35805,0.21627,2.00282,2.43241,1.96088,0.00121316,0.00121316,0.00121316
24,16471.8,1.61613,1.95691,1.66018,0.44659,0.38435,0.34904,0.21383,2.0334,2.35955,1.98038,0.00119253,0.00119253,0.00119253
25,17182,1.55127,1.85309,1.60695,0.49655,0.44897,0.41219,0.25347,1.92172,2.44436,1.86899,0.0011719,0.0011719,0.0011719
26,17893.5,1.61482,1.94625,1.65061,0.53774,0.40966,0.43865,0.26646,1.90034,2.21649,1.89674,0.00115127,0.00115127,0.00115127
27,18587.8,1.58794,1.99054,1.64127,0.59478,0.40759,0.43324,0.24923,1.85578,2.20848,1.85416,0.00113064,0.00113064,0.00113064
28,19269.1,1.48793,1.77876,1.592,0.46704,0.45307,0.42699,0.27322,1.88755,2.17985,1.89412,0.00111001,0.00111001,0.00111001
29,19960.1,1.51483,1.80905,1.60065,0.50357,0.45483,0.45964,0.30734,1.83848,2.06893,1.86608,0.00108938,0.00108938,0.00108938
30,20648.1,1.49323,1.72449,1.5899,0.46894,0.50069,0.45585,0.30536,1.84759,2.01749,1.83215,0.00106876,0.00106876,0.00106876
31,21328.2,1.46014,1.75173,1.56723,0.541,0.45021,0.4529,0.26702,1.90701,2.11182,1.84401,0.00104813,0.00104813,0.00104813
32,22015.7,1.46586,1.7219,1.56901,0.60797,0.4469,0.48427,0.31058,1.79851,1.95811,1.78601,0.0010275,0.0010275,0.0010275
33,22687.1,1.49001,1.73007,1.58033,0.5523,0.48276,0.4802,0.31816,1.79259,1.91446,1.82094,0.00100687,0.00100687,0.00100687
34,23324.7,1.4047,1.62347,1.50606,0.58225,0.45345,0.48147,0.29516,1.82655,1.96194,1.83281,0.000986239,0.000986239,0.000986239
35,23964.2,1.45512,1.65445,1.54947,0.68206,0.47621,0.51526,0.3211,1.76195,1.94277,1.79443,0.00096561,0.00096561,0.00096561
36,24676.9,1.419,1.63872,1.52551,0.57388,0.48414,0.496,0.32217,1.79052,1.83878,1.77176,0.000944981,0.000944981,0.000944981
37,25373.4,1.43219,1.67996,1.5393,0.51327,0.50389,0.48684,0.30391,1.7948,1.9065,1.79816,0.000924352,0.000924352,0.000924352
38,26071,1.39891,1.56685,1.52425,0.62563,0.49052,0.51544,0.32894,1.76111,1.84608,1.76239,0.000903722,0.000903722,0.000903722
39,26788.9,1.38055,1.53192,1.49931,0.53519,0.51687,0.52039,0.32721,1.7678,1.84305,1.74543,0.000883093,0.000883093,0.000883093
40,27479.2,1.38025,1.54845,1.50539,0.53089,0.52161,0.53387,0.32074,1.7393,1.87732,1.73594,0.000862464,0.000862464,0.000862464
41,28118.9,1.35238,1.53742,1.48867,0.61312,0.53954,0.55412,0.36308,1.69434,1.82008,1.73207,0.000841835,0.000841835,0.000841835
42,28751.7,1.36087,1.52216,1.50821,0.61309,0.5235,0.51229,0.32844,1.68588,1.74255,1.71578,0.000821206,0.000821206,0.000821206
43,29383.3,1.3357,1.46359,1.47169,0.59203,0.52455,0.5314,0.36076,1.69559,1.75626,1.72618,0.000800577,0.000800577,0.000800577
44,30015.1,1.34972,1.50474,1.48246,0.72501,0.50069,0.57343,0.35614,1.69018,1.77514,1.72949,0.000779948,0.000779948,0.000779948
45,30648.8,1.3371,1.50676,1.46603,0.64225,0.54655,0.58659,0.37075,1.68415,1.74004,1.71819,0.000759318,0.000759318,0.000759318
