epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.157,1.18747,2.85522,1.37682,1,0.04757,0.23391,0.14557,1.55887,4.53013,1.56696,0.000543587,0.000543587,0.000543587
2,288.284,1.30962,2.25161,1.40865,0.74011,0.185,0.21569,0.11358,1.87289,4.46181,1.89034,0.00107749,0.00107749,0.00107749
3,423.677,1.39355,2.14644,1.50502,0.19067,0.14517,0.03778,0.00942,2.98495,6.91065,4.04643,0.00158939,0.00158939,0.00158939
4,559.031,1.45816,2.03635,1.53489,0.31271,0.23241,0.21631,0.11611,2.03893,4.92289,2.01611,0.00156798,0.00156798,0.00156798
5,693.472,1.49275,2.02854,1.56663,0.21889,0.44291,0.20608,0.07513,2.27052,5.87217,2.29178,0.00153497,0.00153497,0.00153497
6,825.778,1.44764,1.85162,1.55241,0.6011,0.30741,0.34361,0.18171,1.97969,3.63503,2.13906,0.00150197,0.00150197,0.00150197
7,961.059,1.42268,1.76338,1.50736,0.7029,0.40799,0.42657,0.26803,1.76056,2.89675,1.79388,0.00146896,0.00146896,0.00146896
8,1086.74,1.40661,1.68557,1.48119,0.3833,0.37419,0.34311,0.21056,1.84622,4.37796,1.79186,0.00143595,0.00143595,0.00143595
9,1211.01,1.30939,1.51712,1.45454,0.47991,0.49989,0.43431,0.24446,1.78682,2.51805,1.81288,0.00140295,0.00140295,0.00140295
10,1336.75,1.33527,1.52897,1.44625,0.7907,0.37223,0.42628,0.26584,1.78299,2.56863,1.76479,0.00136994,0.00136994,0.00136994
11,1461.72,1.28801,1.4683,1.4029,0.69097,0.46552,0.52083,0.34277,1.55627,2.16083,1.6206,0.00133693,0.00133693,0.00133693
12,1587.09,1.28292,1.46823,1.41742,0.5091,0.52362,0.49835,0.32902,1.63632,1.99258,1.62547,0.00130393,0.00130393,0.00130393
13,1711.79,1.30291,1.47005,1.41073,0.52866,0.55766,0.54279,0.35181,1.6319,1.81166,1.61029,0.00127092,0.00127092,0.00127092
14,1845.17,1.20042,1.28732,1.37353,0.67201,0.55517,0.57115,0.35991,1.54217,1.85105,1.57118,0.00123791,0.00123791,0.00123791
15,1980.39,1.24447,1.32542,1.36794,0.69629,0.5219,0.57542,0.38163,1.45981,1.75193,1.51619,0.00120491,0.00120491,0.00120491
16,2112.18,1.1929,1.27203,1.33927,0.51981,0.54086,0.54018,0.34286,1.56018,1.90029,1.53299,0.0011719,0.0011719,0.0011719
17,2244.37,1.19366,1.25657,1.34443,0.6213,0.45552,0.48838,0.29672,1.58875,1.90966,1.59793,0.00113889,0.00113889,0.00113889
18,2378.48,1.12935,1.23496,1.30238,0.54105,0.5885,0.59828,0.40856,1.4661,1.63545,1.54028,0.00110589,0.00110589,0.00110589
19,2516.25,1.15563,1.2227,1.31984,0.67115,0.48908,0.59559,0.40543,1.43261,1.76436,1.43926,0.00107288,0.00107288,0.00107288
20,2651.24,1.13043,1.19773,1.30744,0.7271,0.60897,0.63663,0.42746,1.38386,1.54124,1.4177,0.00103987,0.00103987,0.00103987
21,2785.1,1.07538,1.16265,1.2717,0.64089,0.61225,0.63591,0.43149,1.32823,1.42967,1.36606,0.00100687,0.00100687,0.00100687
22,2920.98,1.09274,1.09777,1.29323,0.76464,0.62105,0.66464,0.45579,1.40902,1.32953,1.40147,0.000973861,0.000973861,0.000973861
23,3058.05,1.04014,1.09098,1.26611,0.7613,0.52707,0.60936,0.42786,1.39283,1.58746,1.44563,0.000940855,0.000940855,0.000940855
24,3194.6,1.00689,1.04757,1.24046,0.74909,0.5831,0.6338,0.43047,1.34413,1.40721,1.34151,0.000907848,0.000907848,0.000907848
25,3331.35,1.04166,1.02991,1.23319,0.66451,0.65298,0.67331,0.44125,1.39478,1.38294,1.40532,0.000874842,0.000874842,0.000874842
26,3467.53,1.01756,1.05251,1.22652,0.64399,0.6469,0.67502,0.46524,1.2811,1.3653,1.3436,0.000841835,0.000841835,0.000841835
27,3594.75,0.99766,1.01151,1.22849,0.83653,0.62172,0.70939,0.47142,1.30422,1.29221,1.30847,0.000808828,0.000808828,0.000808828
28,3723.6,0.97749,0.96599,1.218,0.69975,0.66121,0.69146,0.47419,1.28798,1.37673,1.33713,0.000775822,0.000775822,0.000775822
29,3849.16,0.95206,0.94084,1.18988,0.72368,0.68161,0.72018,0.47262,1.31661,1.24345,1.38932,0.000742815,0.000742815,0.000742815
30,3973.53,0.96974,0.95226,1.2151,0.70164,0.64799,0.67524,0.44987,1.34182,1.34602,1.3868,0.000709809,0.000709809,0.000709809
31,4098.58,0.97659,0.98603,1.22122,0.79255,0.6446,0.71658,0.5008,1.23422,1.19983,1.30336,0.000676802,0.000676802,0.000676802
32,4223.63,0.92932,0.90386,1.17378,0.76717,0.68,0.73228,0.51378,1.22177,1.15844,1.28304,0.000643795,0.000643795,0.000643795
33,4348.17,0.90906,0.87705,1.16509,0.79411,0.69366,0.74859,0.50425,1.2359,1.12937,1.29254,0.000610789,0.000610789,0.000610789
34,4472.57,0.91337,0.86625,1.16655,0.79443,0.68342,0.72092,0.51227,1.23791,1.17754,1.30305,0.000577782,0.000577782,0.000577782
35,4596.98,0.89684,0.85628,1.15035,0.72616,0.69638,0.70467,0.48949,1.27768,1.27129,1.34387,0.000544776,0.000544776,0.000544776
36,4722.1,0.93261,0.84777,1.17586,0.83183,0.70724,0.7531,0.51532,1.25004,1.12773,1.29557,0.000511769,0.000511769,0.000511769
37,4850.06,0.89524,0.8282,1.16161,0.79395,0.72059,0.76002,0.50186,1.27938,1.13507,1.32545,0.000478762,0.000478762,0.000478762
38,4976.83,0.84634,0.80409,1.13437,0.82499,0.73633,0.75515,0.51879,1.23129,1.09175,1.30324,0.000445756,0.000445756,0.000445756
39,5102.65,0.84566,0.78713,1.11969,0.75659,0.70247,0.73625,0.51508,1.1991,1.13055,1.26961,0.000412749,0.000412749,0.000412749
40,5230.37,0.82638,0.78397,1.12824,0.79086,0.71155,0.74976,0.52095,1.17033,1.06837,1.26923,0.000379743,0.000379743,0.000379743
41,5367.52,0.84775,0.80505,1.12714,0.73731,0.66569,0.69701,0.48222,1.17333,1.1852,1.27622,0.000346736,0.000346736,0.000346736
42,5503.68,0.80622,0.73024,1.08902,0.79194,0.72221,0.76945,0.5337,1.17135,1.09362,1.26908,0.000313729,0.000313729,0.000313729
43,5644.84,0.7729,0.68915,1.07952,0.78743,0.73879,0.75071,0.54091,1.15202,1.02662,1.24518,0.000280723,0.000280723,0.000280723
44,5780.89,0.78799,0.70732,1.08258,0.81334,0.69638,0.76013,0.54632,1.13142,1.00788,1.23599,0.000247716,0.000247716,0.000247716
45,5921.96,0.77545,0.681,1.06721,0.78731,0.74741,0.76751,0.54866,1.11076,1.00749,1.21306,0.00021471,0.00021471,0.00021471
46,6060.38,0.74139,0.64736,1.05868,0.85182,0.72448,0.78508,0.54873,1.11566,1.00439,1.22183,0.000181703,0.000181703,0.000181703
47,6199.41,0.74176,0.63833,1.05855,0.88162,0.70724,0.78687,0.55503,1.11434,0.96595,1.21318,0.000148696,0.000148696,0.000148696
48,6337.73,0.70647,0.61136,1.03205,0.85735,0.73326,0.78953,0.55533,1.11758,0.96041,1.22638,0.00011569,0.00011569,0.00011569
49,6477.15,0.73106,0.63849,1.03797,0.84849,0.71846,0.77699,0.5519,1.1124,0.96011,1.2131,8.26832e-05,8.26832e-05,8.26832e-05
50,6614.77,0.70857,0.60618,1.03967,0.80652,0.73179,0.79027,0.55618,1.10829,0.9553,1.21512,4.96766e-05,4.96766e-05,4.96766e-05
